iter	MAE
0	6.63736767
1	6.635027355
2	6.633173044
3	6.63197547
4	6.629226862
5	6.627574279
6	6.625566716
7	6.623378841
8	6.622187848
9	6.620945753
10	6.618970408
11	6.617940661
12	6.616851936
13	6.615959629
14	6.614150996
15	6.613403328
16	6.612556636
17	6.612075305
18	6.611170465
19	6.609754849
20	6.608612002
21	6.607202894
22	6.606074792
23	6.605542049
24	6.604656613
25	6.603404634
26	6.601956287
27	6.600845231
28	6.599673317
29	6.59879335
30	6.597565126
31	6.596330772
32	6.593580898
33	6.592851074
34	6.591200904
35	6.589585104
36	6.588186762
37	6.58696365
38	6.585709376
39	6.584768082
40	6.583530946
41	6.582565342
42	6.581775619
43	6.581053295
44	6.580052944
45	6.579123645
46	6.578421791
47	6.577548371
48	6.576362994
49	6.574249364
50	6.573952911
51	6.572666443
52	6.571371371
53	6.570022718
54	6.569250499
55	6.568644989
56	6.568157751
57	6.56730808
58	6.565911147
59	6.564614727
60	6.563787415
61	6.562741173
62	6.561989818
63	6.560386435
64	6.558923802
65	6.557906386
66	6.556803557
67	6.556055221
68	6.555286198
69	6.554619741
70	6.553601144
71	6.552431414
72	6.551735471
73	6.550685346
74	6.549655581
75	6.548769746
76	6.54800898
77	6.547251884
78	6.546334968
79	6.545802712
80	6.544963764
81	6.544039558
82	6.54261995
83	6.541886849
84	6.540874776
85	6.539546868
86	6.538711561
87	6.537545342
88	6.536896269
89	6.535978058
90	6.535032206
91	6.534002702
92	6.533354723
93	6.532042413
94	6.531616047
95	6.530551013
96	6.529836191
97	6.528694403
98	6.528210522
99	6.527539066
