iter	Passed	Remaining
0	97	9655
1	116	5706
2	129	4190
3	145	3497
4	158	3011
5	179	2812
6	193	2572
7	209	2404
8	225	2276
9	238	2147
10	249	2019
11	262	1924
12	278	1864
13	291	1789
14	301	1710
15	313	1648
16	326	1592
17	336	1532
18	351	1497
19	366	1465
20	382	1438
21	392	1391
22	406	1362
23	420	1332
24	429	1289
25	440	1254
26	450	1216
27	467	1201
28	479	1175
29	495	1155
30	509	1134
31	528	1123
32	539	1094
33	548	1064
34	557	1034
35	562	1000
36	579	986
37	588	960
38	597	934
39	606	910
40	617	888
41	623	861
42	633	840
43	641	816
44	649	793
45	657	772
46	668	754
47	678	734
48	686	714
49	693	693
50	701	674
51	713	658
52	719	637
53	727	619
54	735	602
55	745	585
56	751	567
57	759	550
58	770	535
59	779	519
60	787	503
61	795	487
62	804	472
63	811	456
64	820	441
65	827	426
66	838	412
67	847	398
68	855	384
69	861	369
70	873	356
71	881	342
72	887	328
73	893	314
74	899	299
75	913	288
76	928	277
77	944	266
78	957	254
79	967	241
80	979	229
81	991	217
82	1003	205
83	1016	193
84	1030	181
85	1041	169
86	1054	157
87	1066	145
88	1076	133
89	1090	121
90	1104	109
91	1116	97
92	1130	85
93	1136	72
94	1153	60
95	1171	48
96	1184	36
97	1194	24
98	1206	12
99	1219	0
