Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (40857558),Jonathan Taylor,40857558,RB/FLEX,10000,IND@KC 11/23/2025 01:00PM ET,IND,28.89
RB,Christian McCaffrey (40857263),Christian McCaffrey,40857263,RB/FLEX,9500,CAR@SF 11/24/2025 08:15PM ET,SF,26.36
WR,Jaxon Smith-Njigba (40857968),Jaxon Smith-Njigba,40857968,WR/FLEX,9000,SEA@TEN 11/23/2025 01:00PM ET,SEA,23.99
WR,Puka Nacua (40857785),Puka Nacua,40857785,WR/FLEX,8800,TB@LAR 11/23/2025 08:20PM ET,LAR,22.59
RB,Bijan Robinson (40858045),Bijan Robinson,40858045,RB/FLEX,8500,ATL@NO 11/23/2025 04:25PM ET,ATL,22.59
RB,Jahmyr Gibbs (40857974),Jahmyr Gibbs,40857974,RB/FLEX,8300,NYG@DET 11/23/2025 01:00PM ET,DET,21.26
WR,Ja'Marr Chase (40857624),Ja'Marr Chase,40857624,WR/FLEX,8100,NE@CIN 11/23/2025 01:00PM ET,CIN,20.67
WR,Amon-Ra St. Brown (40857730),Amon-Ra St. Brown,40857730,WR/FLEX,8000,NYG@DET 11/23/2025 01:00PM ET,DET,19.44
WR,CeeDee Lamb (40857542),CeeDee Lamb,40857542,WR/FLEX,7900,PHI@DAL 11/23/2025 04:25PM ET,DAL,16.7
RB,Josh Jacobs (40857429),Josh Jacobs,40857429,RB/FLEX,7800,MIN@GB 11/23/2025 01:00PM ET,GB,18.15
WR,Rashee Rice (40857874),Rashee Rice,40857874,WR/FLEX,7700,IND@KC 11/23/2025 01:00PM ET,KC,19.28
RB,Derrick Henry (40857197),Derrick Henry,40857197,RB/FLEX,7600,NYJ@BAL 11/23/2025 01:00PM ET,BAL,15.11
RB,Saquon Barkley (40857341),Saquon Barkley,40857341,RB/FLEX,7500,PHI@DAL 11/23/2025 04:25PM ET,PHI,15.39
WR,Justin Jefferson (40857578),Justin Jefferson,40857578,WR/FLEX,7400,MIN@GB 11/23/2025 01:00PM ET,MIN,14.91
WR,Drake London (40857901),Drake London,40857901,WR/FLEX,7300,ATL@NO 11/23/2025 04:25PM ET,ATL,21.44
WR,Tee Higgins (40857481),Tee Higgins,40857481,WR/FLEX,7100,NE@CIN 11/23/2025 01:00PM ET,CIN,13.64
RB,Rico Dowdle (40857421),Rico Dowdle,40857421,RB/FLEX,7100,CAR@SF 11/24/2025 08:15PM ET,CAR,15.54
